ID,Group,Age.Yr,Train.Hr,Wave,Grade,1BCSTCAT,1BCSTCR,1BCSTPR,1BCSTPE,1BCSTNPE,1BCSTCLR,1CONNTARG,1ConnSingle,1ConnSwitch,1SWITCHavg2featRT,1SWITCHavg3featRT,1SWITCHerr2feat,1SWITCHerr3feat,1SwitchMed2featRT,1SwitchMed3featRT,1FLANKACC,1FLANKCC(RT),1Flank-1Acc,1Flank1Acc,1GOTE,1Go1Pcorr,1Go1Rcorr,1Go2Pcorr,1Go2Rcorr,1Go1RTP,1Go1RTR,1Go2RTP,1Go2RTR,1NSIE,1NSRTC,1NSRTI,1NSACCC,1NSACCI,1OSPANdistract%,1OSPANpartialscore,1OSPANavgDisTime,1RSPANdistract%,1RSPANpartialscore,1RSPANavgDisTime,1SYMSPANdistract%,1SYMSPANpartialscore,1SYMSPANavgDisTime,2BCSTCAT,2BCSTCR,2BCSTPR,2BCSTPE,2BCSTNPE,2BCSTCLR,2CONNTARG,2ConnSingle,2ConnSwitch,2SWITCHavg2featRT,2SWITCHavg3featRT,2SWITCHerr2feat,2SWITCHerr3feat,2SwitchMed2featRT,2SwitchMed3featRT,2FLANKACC,2FLANKCC(RT),2Flank-1Acc,2Flank1Acc,2GOTE,2GO1Pcorr,2GO1Rcorr,2GO2Pcorr,2GO2Rcorr,2GO1RTP,2GO1RTR,2GO2RTP,2GO2RTR,2NSIE,2NSRTC,2NSRTI,2NSACCC,2NSACCI,2OSPNdistract%,2OSPNpartialscore,2OSPNavgDisTime,2RSPANdistract%,2RSPANpartialscore,2RSPANavgDisTime,2SYMSPANdistract%,2SYMSPANpartialscore,2SYMSPANavgDisTime,3BCSTCAT,3BCSTCR,3BCSTPR,3BCSTPE,3BCSTNPE,3BCSTCLR,3CONNTARG,3ConnSingle,3ConnSwitch,3SWITCHavg2featRT,3SWITCHavg3featRT,3SWITCHerr2feat,3SWITCHerr3feat,3Switchmed2featRT,3Switchmed3featRT,3FLANKACC,3FLANKCC,3Flank-1Acc,3Flank1Acc,3GOTE,3GO1Pcorr,3GO1Rcorr,3GO2Pcorr,3GO2Rcorr,3GO1RTP,3GO1RTR,3GO2RTP,3GO2RTR,3NSIE,3NSRTC,3NSRTI,3NSACCC,3NSACCI,3OSPNdistract%,3OSPNpartialscore,3OSPNavgDisTime,3RSPANdistract%,3RSPANpartialscore,3RSPANavgDisTime,3SYMSPANdistract%,3SYMSPANpartialscore,3SYMSPANavgDisTime,1RTaverage,2RTaverage,3RTaverage,1NAI,2NAI,3NAI,1PATmScale,2PATmScale,3PATmScale,1PATrScale,2PATrScale,3PATrScale,ITIM,1IEMmaths,1IEMenglish,1IEMconc.,1IEMTotalScore,2IEMmaths,2IEMenglish,2IEMconc.,2IEMTotalScore,1CEFI_P_AT_SS,1CEFI_P_FX_SS,1CEFI_P_WM_SS,2CEFI_P_AT_SS,2CEFI_P_FX_SS,2CEFI_P_WM_SS,3CEFI_P_AT_SS,3CEFI_P_FX_SS,3CEFI_P_WM_SS,1CEFI_T_AT_SS,1CEFI_T_FX_SS,1CEFI_T_WM_SS,2CEFI_T_AT_SS,2CEFI_T_FX_SS,2CEFI_T_WM_SS,3CEFI_T_AT_SS,3CEFI_T_FX_SS,3CEFI_T_WM_SS
316,C8,8.65,10.1,C,3,4,50,42.19,21.88,28.13,31.3,0.442857,17.5,7.75,61957.33333,86000,1,18,3762.666667,4750,0.483333,93.3,0.2,0.55,33,0.89062,0.4375,0.875,0.6875,583.377,549.667,600.125,666.273,10,889.661,943.375,0.875,0.589286,0.68,0.04,2259.4746,0.84,0.12,1169.524,0.785714286,0.785714286,1720.1925,2,29.69,28.13,15.63,40.63,34.4,0.655172,14.5,13,76000,74442,13,16,4079.666667,3946.333333,0.55,39.6,0.4,0.6,25,0.89062,0.5625,0.89062,0.75,644,572,420.286,710.167,12,1020,1017.64,0.821429,0.607143,0.84,0.04,9200,0.92,0.28,1184.5406,0.785714286,0.285714286,1295.5075,3,53.13,29.69,15.63,31.25,32.8,0.521739,17.25,9,47613.33333,62503.33333,1,5,2758,3468.333333,0.83333,54.35,0.7,0.9,30,0.98437,0.1875,0.79687,0.8125,495.524,440.846,760.385,684.154,22,817.143,938.482,0.946429,0.535714,1,0.04,4648.832,0.84,0.44,1248.68,0.714285714,0.428571429,2201.4375,552.829,591,436.0491803,101,93,105,111.9,120.2,130,118.5,127.6,138.5,23,0,0,6,6,4,6,3,13,84,109,68,78,83,75,86,86,82,89,98,83,84,96,85,79,84,89
317,TC,9.11,10.7,C,3,7,68.75,43.75,21.88,9.38,54.7,0.578431,25.5,14.75,46347,54139.33333,3,2,2683,3123,0.916667,54.45,0.9,0.95,17,0.98437,0.5,0.96875,0.625,522.429,452.875,570.5,743.1,5,817.732,856.714,1,0.928571,0.68,0.92,4765.838,0.92,0.52,3251.196,0.714285714,0.214285714,1393.975,7,78.13,37.5,15.63,6.25,73.4,0.625,28,17.5,51376.66667,30048.66667,1,1,3128.666667,1865.666667,0.816667,-25.75,0.75,0.75,15,0.9375,0.4375,0.96875,1,546.9,433.889,590,670.25,5,857.339,939.946,0.946429,0.928571,0.84,0.96,9200,0.84,0.6,1765.298,0.571428571,0.5,1442.97,7,70.31,53.13,23.44,6.25,59.4,0.685185,27,18.5,39512.66667,44989,8,15,2293,2258.666667,0.9,12.35,0.8,0.95,23,0.95312,0.125,0.95312,0.8125,458.148,402.5,575.333,677.231,10,684.911,749.75,1,0.821429,0.64,0.76,2786.498,0.96,1,1521.744,0.928571429,0.5,956.05825,404.9137931,476.8636364,367.2878788,135,133,133,130,137.3,144.9,157.6,146.8,131.2,35,0,4,6,10,1,5,3,9,110,92,118,93,103,102,90,92,92,117,122,116,124,124,120,122,118,120
318,TC,10.54,9.7,C,5,2,35.94,51.56,35.94,28.13,20.3,0.494118,21.25,10.5,51167.66667,44626.66667,3,4,2905.333333,2517.333333,0.916667,29.95,0.8,1,20,1,0.4375,0.84375,0.9375,451.375,458.111,471.2,578.933,3,854.554,929.357,0.964286,0.928571,0.84,0.8,3537.364,0.84,0.76,1601.678,0.714285714,0.571428571,1502.245,3,53.13,62.5,37.5,9.38,39.1,0.580357,28,16.25,44172,53798,5,15,2416.333333,2971.666667,0.93333,36.9,0.95,0.95,13,0.98437,0.5,0.9375,1,460.762,439.875,423.75,532.25,6,704.125,772.518,0.982143,0.892857,0.88,0.88,2941.126,0.96,0.92,2277.402,1,0.714285714,2063.7075,7,78.13,42.19,15.63,6.25,71.9,0.686957,28.75,19.75,43638,28808,3,2,2547.666667,1783.666667,0.93333,29.25,0.85,0.95,14,0.98437,0.625,0.89062,1,414.222,385.667,442,549,3,664.982,705.411,0.964286,0.946429,0.84,0.72,1913.132,0.92,0.72,2222.282,0.928571429,0.642857143,1545.1075,328.3428571,335.5964912,319.0638298,111,118,115,124.3,131.3,137.8,130.4,128.8,143,26,5,3,4,12,3,5,3,11,99,95,90,95,89,92,99,98,94,,,,,,,,,
319,TC,10.69,10,C,5,6,75,50,20.31,4.69,70.3,0.802469,20.25,16.25,54130.66667,46474.66667,21,1,3243.333333,2906.333333,0.516667,-16.85,0.4,0.6,27,0.98437,0.5625,0.98437,1,429.129,423.692,352.5,631.357,10,724.214,840.607,0.964286,0.821429,0.88,0.8,2828.428,0.92,0.68,1414.07,0.857142857,0.357142857,1359.8925,5,65.63,42.19,18.75,15.63,53.1,0.712766,23.5,16.75,73147.33333,89000,20,25,4072.666667,4700,0.583333,18.25,0.7,0.55,38,0.92187,0.625,0.60937,0.875,462.746,392.667,289.12,534.643,7,786.357,982.107,0.875,0.767857,1,0.88,2676.44,1,0.84,1425.442,0.857142857,0.714285714,1199.245,7,75,35.94,12.5,12.5,59.4,0.902174,23,20.75,41064.33333,44317.66667,10,9,2591.666667,2618.666667,0.9,10.45,0.75,1,11,0.98437,0.625,0.95312,0.9375,484.762,498.167,425.667,559.733,8,620.607,749.107,0.982143,0.875,0.8,0.28,2924.64,0.96,0.52,1543.126,0.642857143,0.5,1611.9,393.8253968,499.8064516,334.8983051,112,100,117,133.6,131.3,135.3,110.1,135.8,135.4,32,3,3,4,10,0,6,5,11,92,80,108,98,80,112,95,83,108,,,,,,,,,
320,TC,10.31,9.7,C,5,3,51.56,42.19,32.81,15.63,37.5,0.783019,26.5,20.75,46605.33333,46807.66667,1,1,2871.666667,2767.333333,0.85,13.05,0.75,0.85,57,0.89062,0.0625,0.6875,0.75,453.315,420.267,560.5,491.083,7,834.768,830.696,0.839286,0.803571,0.8,0.56,4317.13,,,,0.714285714,0.571428571,1483.67,4,62.5,45.31,20.31,17.19,45.3,0.567568,27.75,15.75,37071.33333,49342,4,19,2242,2828.666667,0.766667,8.5,0.8,0.7,24,0.90625,0.5,0.89062,0.8125,504.448,357.875,620.571,578.692,6,717.286,761.786,0.910714,0.910714,0.84,0.52,1815.222,0.84,0.72,1851.896,0.928571429,0.571428571,1305.095,6,70.31,31.25,17.19,12.5,62.5,0.752137,29.25,22,37140,37975.66667,22,14,1928,2192.333333,0.68333,66.6,0.65,0.7,24,0.96875,0.4375,0.84375,0.8125,431.194,325.889,428.8,485.462,10,480.946,547.554,0.785714,0.803571,0.92,0.76,1464.886,0.84,0.68,910.6474,0.5,0.5,664.87925,330.1791045,373.3962264,411.2363636,103,102,112,131.3,125.5,146.9,140.3,140.3,133.7,32,2,1,5,8,3,5,0,8,78,86,92,75,77,84,87,92,99,94,98,88,86,94,85,106,108,105
321,TC,10.43,10.3,C,5,4,71.88,39.06,18.75,9.38,65.6,0.714286,29.75,21.25,38702.66667,38334.33333,18,9,1850,2389.666667,0.85,13,0.65,0.9,16,0.96875,0.5,0.90625,1,389.468,463,516.667,553.125,13,646.732,712.875,0.982143,0.75,0.92,0.88,2122.77,0.96,1,799.7638,0.928571429,0.785714286,785.73325,6,71.88,32.81,14.06,14.06,62.5,0.804348,34.5,27.75,34737.33333,39937,17,12,1886,2349.333333,0.9,39.85,0.8,0.9,19,1,0.375,0.875,0.9375,433.297,364,373.875,565.267,3,726.875,762.196,0.982143,0.94649,0.88,0.84,2137.044,0.92,0.88,871.4828,0.857142857,0.571428571,735.26675,6,73.44,39.06,17.19,9.38,64.1,0.795918,36.75,29.25,28493.33333,34692.33333,14,2,1803,1916.666667,0.86667,13.35,0.6,1,8,1,0.5625,0.98437,1,401.812,365.286,445,569,9,529.339,628.911,0.964286,0.821429,0.92,1,1921.488,0.96,1,778.2126,0.857142857,0.714285714,801,353.0847458,377.4912281,426.74,130,121,134,140,141.4,157.2,151.2,143.1,143,22,0,4,6,10,0,4,5,9,114,103,110,120,124,106,120,103,112,108,126,116,127,115,125,94,100,106
322,TC,11.11,10.3,C,5,6,78.13,43.75,17.19,4.69,62.5,0.604167,24,14.5,43134.33333,56055.33333,0,10,2808.666667,3275.333333,0.9,-23.95,0.7,1,9,1,0.5625,0.98437,0.9375,465.5,410.857,526,521.2,7,614.5,694.875,1,0.910714,0.88,0.28,3196.362,0.88,0.6,2029.252,0.785714286,0.142857143,1700.92,7,76.56,39.06,18.75,4.69,70.3,0.5,29.5,14.75,42496,41963.33333,5,2,2336.666667,2493.666667,0.916667,34.1,0.85,0.95,13,0.96875,0.4375,0.98437,0.9375,436.435,398.775,523,494.733,6,577.196,612.375,1,0.928571,0.8,0.72,2431.82,0.96,0.56,2150.654,0.928571429,0.642857143,1124.3425,8,75,42.19,18.75,6.25,71.9,0.589744,29.25,17.25,31225,43565,3,1,1902.333333,2739.666667,0.85,49.45,0.75,0.95,12,0.98437,0.375,0.98437,1,406.476,365.7,461,486.938,5,550.554,649.911,0.964286,0.946429,0.92,0.64,2018.588,0.92,0.6,1512.982,0.642857143,0.357142857,897.01675,314.5862069,313.6885246,325.3833333,114,121,154,137.3,148.3,153.9,140.3,143.1,151.8,30,3,5,6,14,3,5,6,14,120,112,114,120,121,112,104,105,103,,,,,,,,,
323,TC,8.69,10,C,3,1,39.06,12.5,7.81,53.13,18.8,0.617647,17,10.5,55904.33333,56908.66667,3,0,3162.666667,3183.666667,,,,,45,0.90625,0.1875,0.67187,0.6875,521.5,420.077,395.095,492,17,812.732,918.911,0.839286,0.732143,0.8,0.32,4950.3934,0.72,0.52,2374.274,0.714285714,0.357142857,1595.1125,1,45.31,26.56,14.06,40.63,23.4,0.694118,21.25,14.75,47863.66667,46081.33333,4,4,2696.333333,2436.333333,0.766667,105.45,0.8,0.65,32,0.98437,0.125,0.73437,1,420.333,361.357,509.824,584.812,11,830.804,816.482,0.928571,0.767857,0.64,0.44,5511.724,0.8,0.52,2383.504,0.857142857,0.5,939.94175,5,68.75,21.88,7.81,23.44,60.9,0.614583,24,14.75,40872,39577.33333,0,0,2456.333333,2188.666667,0.8,-39.75,0.6,0.95,29,0.8125,0.375,0.90625,0.9375,423.173,419.5,559.167,682.067,7,698.75,751.411,0.946429,0.857143,0.72,0.84,4796.25,0.88,0.92,2310.3,0.785714286,0.428571429,1125.5875,481.1666667,490.8269231,337.8392857,111,108,119,125.6,133.4,132.9,118.5,130.6,127.6,22,2,1,5,8,0,0,2,2,98,98,94,84,89,86,95,86,88,,,,,,,,,
324,TC,8.38,10,C,3,1,32.81,48.44,39.06,28.13,18.8,0.706522,23,16.25,54870,60232,4,9,2986.333333,3165.333333,0.83333,13.85,0.8,0.85,14,1,0.3125,0.95312,1,530.266,506,565.667,655.875,6,739.571,873.304,0.982143,0.892857,0.92,0.12,2750.3,0.96,0.84,1249.538,0.571428571,0.285714286,1128.45,7,73.44,40.63,17.19,9.38,71.9,0.606061,24.75,15,44565,65149,3,7,2528,3222.333333,0.8833333,53.7,0.8,0.9,13,0.98437,0.3125,0.98437,1,498.968,469.636,793,619.75,8,722.821,791.839,0.982143,0.875,0.92,0.72,2960.268,1,0.76,1370.58,0.571428571,0.5,968.9625,2,42.19,57.81,39.06,18.75,20.3,0.639175,24.25,15.5,43562.66667,65595,0,4,2503.666667,3746.666667,0.93333,57.7,0.95,0.85,11,1,0.375,0.98437,1,468.719,423.6,452,626.938,8,611.214,644.143,1,0.875,1,0.76,2097.898,0.96,0.92,980.2314,0.857142857,0.428571429,1655.0875,431.0163934,405.7941176,429.2,119,115,124,133.4,145.7,136.2,127.6,134.2,141.9,19,4,4,4,12,0,4,5,9,108,112,108,105,95,104,113,109,104,101,98,112,113,113,123,84,84,74
325,TC,8.6,10.7,C,3,1,42.19,12.5,14.06,57.81,14.1,0.693333,18.75,13,54477.33333,53512.66667,0,0,3170.333333,3282,0.916667,41.65,0.85,0.95,16,1,0.3125,0.92187,1,494.016,449.636,562.8,695.812,15,785.75,967.071,0.839286,0.625,0.96,0.64,4817.142,0.84,0.72,2353.628,0.857142857,0.571428571,2604.8675,5,64.06,28.13,12.5,23.44,50,0.655914,23.25,15.25,45114.33333,48673,0,4,2747.333333,2920,0.866667,-7.1,0.85,0.9,11,1,0.5625,0.9375,1,537.672,482.857,709,667.688,6,713.196,738.089,0.946429,0.857143,0.88,0.92,3861.516,1,0.8,1990.982,0.857142857,0.642857143,1819.6625,3,62.5,40.63,21.88,15.63,45.3,0.68932,25.75,17.75,36587.33333,39576.66667,1,2,2094.333333,2349,0.933333,13.15,0.95,0.95,10,0.98437,0.625,0.95312,1,501.873,514.333,658.333,588.438,6,648.679,663.786,0.964286,0.857143,0.96,0.76,1373.782,0.92,0.76,1257.74,1,0.785714286,1225.67,493.2318841,405.234375,433.7868852,122,126,126,127,133.4,132.9,130.6,139.1,141.9,25,4,5,3,12,5,6,5,16,104,121,110,107,106,106,114,130,112,,,,,,,,,
326,TC,10.63,10.3,C,5,6,65.63,46.88,21.88,12.5,51.6,0.692982,28.5,19.75,37987,39530.66667,1,2,2258.666667,2458.333333,0.95,17.2,0.95,1,20,0.98437,0.5625,0.82812,0.9375,447.984,468.714,454.364,562.933,7,611.839,659.036,1,0.892857,0.96,1,3324.678,0.96,0.84,1424.37,0.785714286,0.928571429,992.1075,3,70.31,46.88,20.31,9.38,60.9,0.804511,33.25,26.75,31125,35767.66667,0,5,1973.666667,1801.666667,0.93333,21.45,1,0.9,30,1,0.125,0.8125,0.75,370.109,383.143,387.25,500,13,595.232,639.196,0.982143,0.732143,0.88,0.72,3154.742,0.92,0.8,959.1114,0.857142857,0.928571429,765.56675,6,75,43.75,20.31,4.69,71.9,0.820896,33.5,27.5,29728.33333,28373.33333,7,5,1786.666667,1518,0.966667,13.45,0.95,1,23,0.98437,0.375,0.89062,0.6875,374.778,354.2,340.857,551.273,12,504.75,608,0.982143,0.714286,0.96,0.8,1982.934,0.88,0.96,712.5734,0.857142857,0.928571429,477.0625,347.1363636,409,378.7333333,129,132,145,136,141.4,151.2,125.8,137.9,138.9,25,0,5,6,11,0,5,4,9,93,100,84,92,95,82,107,83,77,,,,,,,,,
327,TC,8.4,10,C,3,4,60.94,42.19,20.31,18.75,50,0.835821,16.75,14,64347,74034.33333,0,8,3944.666667,3712.333333,0.6,33.45,0.3,0.7,29,0.96875,0.3125,1,0.625,615,570.455,,,1,965.071,976.143,0.982143,0.964286,0.72,0.4,3100.268,0.8,0.32,3904.21,0.642857143,0.214285714,2376.525,3,53.13,34.38,23.44,23.44,42.2,0.642857,21,13.5,52045,59322.66667,4,8,3260.666667,3553.333333,0.9,52.9,0.85,0.9,23,1,0.125,0.875,0.9375,512.578,536.857,679.875,646.733,8,816.857,872.946,0.892857,0.857143,0.64,0.44,4298.286,0.68,0.08,2206.704,0.642857143,0.285714286,1666.6575,6,71.88,45.31,20.31,7.81,56.3,0.775281,22.25,17.25,61491,79144.33333,19,29,3339.666667,4137,0.9,54.95,0.9,0.9,14,0.96875,0.625,0.92187,0.9375,532.661,458,566.8,628.933,8,756.696,810.893,0.964286,0.821429,0.72,0.56,3928.382,0.96,0.44,4078.896,0.857142857,0.285714286,5055.755,460.3278689,387.1296296,368,109,127,113,139.6,142.4,142.2,125,139.1,131.2,18,3,5,6,14,3,5,6,14,113,92,102,99,95,100,108,92,102,106,115,105,110,108,108,106,124,114
328,TC,10.8,10.7,C,5,1,43.75,65.63,43.75,12.5,21.9,0.672897,26.75,18,35830,35847.66667,0,1,2125.333333,2166,0.9,44.7,0.85,0.95,16,1,0.375,0.90625,1,450.672,416.9,440.667,480.812,4,650.679,691,0.964286,0.946429,0.84,0.84,2505.084,0.8,0.72,1460.718,0.857142857,0.642857143,1034.51675,4,62.5,39.06,18.75,18.75,51.6,0.940594,25.25,23.75,31622.33333,34405.33333,1,2,1665,1844.666667,0.85,-19.05,0.85,0.95,17,1,0.375,0.90625,0.9375,423.422,381.6,344,541.933,10,552.304,584.036,0.928571,0.857143,0.92,0.76,1742.008,0.84,0.72,996.984,0.785714286,0.571428571,1033.4125,6,71.88,35.94,18.75,9.38,68.8,0.822581,31,25.5,30935.66667,35989,0,3,1765.333333,2031.666667,0.83333,3.2,0.8,0.75,15,1,0.25,0.95312,1,384.172,359.25,571,542.938,4,506.429,480.643,0.946429,0.910714,0.84,0.48,1733.214,0.96,0.6,1067.08,0.928571429,1,563.91675,359.234375,345.4098361,323.5942029,126,112,121,142.9,138.6,153.9,140.3,140.3,138.9,24,4,5,5,14,5,4,5,14,86,98,94,98,95,106,109,102,99,,,,,,,,,
329,TC,10.22,8.3,C,5,7,70.31,48.44,21.88,7.81,59.4,0.83,25,20.75,41086.33333,44933.33333,1,3,2597.666667,2658.666667,0.983333,34.85,0.95,1,10,1,0.5625,0.95312,1,428.172,447,442.667,507.062,6,581.857,613.821,1,0.910714,0.8,0.84,1287.486,0.88,0.8,1242.838,0.928571429,0.642857143,1279.5,6,71.88,39.06,15.63,12.5,56.3,0.663717,28.25,18.75,31962.66667,36608,5,0,1922.666667,2319.666667,0.966667,36.3,0.95,0.95,8,1,0.5,1,1,431.141,361.625,,496.25,9,535.946,546.054,1,0.821429,1,0.88,1462.986,0.84,0.56,1393.854,0.928571429,0.857142857,1222.7,7,76.56,37.5,17.19,6.25,71.9,0.713043,28.75,20.5,32566.33333,34486,0,1,1991.666667,2002.666667,0.966667,31.45,0.9,1,7,1,0.75,0.95312,1,431.844,383.25,535,464.75,10,522.821,611.214,1,0.892857,0.92,0.88,1428.114,0.92,0.72,1347.384,0.928571429,0.642857143,1299.9175,285.3125,304.4615385,304.2333333,125,124,127,153.2,153.2,153.9,143.1,133.8,137.1,26,0,4,5,9,2,4,0,6,90,95,72,101,112,102,102,115,114,127,131,112,103,108,91,111,118,103
401,C8,10.97,10,D,5,4,59.38,50,23.44,17.19,51.6,0.44898,24.5,11,49739,50351,7,2,2724.333333,2884.666667,,,,,30,0.98437,0.375,0.76562,0.75,550.794,432.4,475.067,551.75,7,877.786,994.018,1,0.821429,0.8,0.64,3479.5,0.96,0.44,2459.92,1,0.428571429,1453.8625,4,54.69,43.75,28.13,17.19,40.6,0.56383,23.5,13.25,45725.33333,53965.33333,3,1,2760,2273.333333,,,,,14,0.98437,0.4375,0.98437,0.8125,567.571,455.556,259,710.692,6,977.179,1093.95,0.839286,0.839286,0.84,0.52,5127.662,0.96,0.48,3575,0.857142857,0.5,1447.0575,5,65.63,35.94,18.75,15.63,50,0.618557,24.25,15,45333.33333,49760,1,0,2358,2720.666667,0.9,18.45,0.9,0.95,17,1,0.375,0.90625,0.9375,506.484,404.7,651.5,609.8,5,781.286,810,0.982143,0.892857,0.96,0.76,4568.256,0.96,0.32,3601.586,1,0.714285714,1521.5425,370.0967742,495.6896552,405.1372549,106,110,121,120.6,123.1,127.2,120.2,125.8,116.2,23,3,4,2,9,2,5,5,12,87,100,84,105,115,97,,,,75,89,77,84,105,89,85,94,85
404,C8,9.03,10,D,3,5,60.94,39.06,21.88,17.19,43.8,0.794521,18.25,14.5,47375.66667,49184,0,2,2733.333333,3154.666667,0.75,81.55,0.8,0.6,19,1,0.1875,0.90625,1,450.797,424,503.5,579.188,13,779.75,869.321,0.964286,0.821429,1,0.44,9350,0.88,0.48,2512.286,0.785714286,0.357142857,2136.6325,4,67.19,45.31,18.75,14.06,48.4,0.7875,20,15.75,44918,45205.66667,2,0,2677,2722,0.866667,6.4,0.8,0.85,16,0.98437,0.375,0.92187,1,569.857,448.6,679.2,666.125,4,769.143,938.75,0.964286,0.928571,0.88,0.72,6239.38,0.84,0.64,2070.576,0.857142857,0.642857143,1772.5675,4,60.94,40.63,20.31,18.75,45.3,0.757282,25.75,19.5,42542.33333,41494,1,0,2504,2691,0.666667,-7.15,0.45,0.75,19,1,0.1875,0.92187,0.9375,433.047,405.846,451.2,514.067,13,609.107,683.875,0.964286,0.714286,0.84,0.52,4798.168,0.8,0.4,1588.12,0.785714286,0.714285714,914.85425,369.2222222,510.1929825,390.6666667,121,117,133,130,127,130,125,130.6,131.2,25,4,4,4,12,4,3,4,11,79,74,80,98,95,100,99,98,97,,,,,,,,,
406,C8,9.04,11,D,3,4,64.06,43.75,20.31,15.63,57.8,0.554348,23,12.75,60106.33333,55411.33333,3,7,3748.666667,3338,0.85,38.5,0.8,0.9,66,1,0.0625,0.6875,0.8125,392.625,351.067,375.476,343,10,665.125,696.536,0.946429,0.803571,0.68,0.6,4063.292,0.92,0.6,1421.904,0.785714286,0.571428571,2109.2175,4,51.56,51.56,31.25,17.19,45.3,0.714286,22.75,16.25,59839.66667,48019.33333,11,4,3482,2955.333333,0.866667,16.2,0.8,0.95,17,1,0.5,0.89062,0.875,509.828,403.25,484.143,753.429,7,661.5,704.839,0.928571,0.821429,0.84,0.52,5408.674,0.88,0.52,2134.854,0.857142857,0.571428571,1914.5875,7,73.44,43.75,15.63,10.94,68.8,0.696078,25.5,17.75,37679.66667,48108,1,6,2458.333333,2757.333333,0.9,19.35,0.85,0.95,19,0.96875,0.375,0.89062,1,458.823,421.6,437,583.75,12,598.268,626.661,0.928571,0.803571,0.76,0.68,2566.768,0.92,0.6,1573.674,0.785714286,0.785714286,1608.1175,386.74,408.4745763,338.0615385,103,102,104,130,133.4,132.9,120.5,139.1,125.9,26,2,2,0,4,4,3,6,13,89,80,94,117,103,118,108,124,118,,,,,,,,,
407,C8,11.39,10.3,D,5,1,46.88,34.38,20.31,32.81,18.8,0.725275,22.75,16.5,39146.66667,53125,6,7,2302.666667,3290.333333,0.616667,81.95,0.6,0.6,31,1,0.5,0.65625,0.9375,486.344,617,385.227,516.067,13,614.232,666.643,1,0.767857,0.88,0.68,2785.898,1,0.64,1892.488,0.714285714,0.642857143,1273.595,3,53.13,26.56,12.5,34.38,45.3,0.684685,27.75,19,44390,65293.33333,20,25,2545.666667,3084,0.9,49.05,0.7,1,22,0.98437,0.35,0.875,0.9375,415.175,421.333,657.875,594.867,6,628.554,644.946,0.964286,0.910714,0.72,0.76,2620.142,0.92,0.8,2137.822,0.785714286,0.642857143,1457.745,2,51.56,20.31,9.38,39.06,29.7,0.825243,25.75,21.25,31998.33333,40104,9,3,1656.666667,2168,0.9,32.1,0.8,0.9,7,1,0.75,0.95312,1,477.891,415.5,785.667,552.875,5,562.714,568.982,0.946429,0.946429,0.72,0.68,2062.626,0.88,0.68,1412.316,0.642857143,0.857142857,808.6625,412.4186047,423.3191489,514.2807018,104,112,119,140,141.4,143.5,140.3,127.3,145.5,32,5,5,6,16,0,5,6,11,90,74,94,117,106,108,113,116,113,100,103,95,101,94,95,98,94,86
408,C8,8.18,10.7,D,3,4,56.25,42.19,26.56,17.19,43.8,0.689655,14.5,10,67117.33333,70669.66667,17,0,4100.666667,4072.666667,0.583333,12.95,0.4,0.7,33,1,0.25,0.70312,0.875,542.125,516.167,568.579,682.714,11,1009.66,1180,0.892857,0.767857,0.56,0.4,2551.438,1,0.68,1528.43,0.857142857,0.571428571,3650,5,73.44,42.19,12.5,14.06,64.1,0.65625,16,14,51957.66667,63122.33333,0,5,2998,3553.666667,0.566667,-8.8,0.4,0.55,38,1,0.35,0.85937,0.75,398.406,424.357,455.964,723.167,11,1044.2,1165,0.821429,0.767857,0.64,0.56,5825.636,0.84,0.56,2496.344,0.857142857,0.785714286,2730,4,67.19,51.56,23.44,9.38,48.4,0.640449,22.25,14.25,44829.66667,53355,5,4,2671.666667,3149.666667,0.666667,26.35,0.45,0.7,29,0.9375,0.25,0.8125,0.9375,356.55,395.25,408.583,644.933,17,830.339,994.304,0.928571,0.732143,0.72,0.6,3745.868,0.88,0.56,1502.476,0.857142857,0.857142857,2643.0875,453.1176471,426.9038462,392.9193548,110,119,119,117.5,122.8,122.2,130.6,139.1,138.5,24,3,1,0,4,6,3,4,13,69,72,92,95,100,114,84,86,92,105,84,95,91,96,100,78,91,79
409,C8,10.32,10,D,5,8,71.88,42.19,21.88,6.25,62.5,0.66055,27.25,18,45131.33333,51000.33333,2,0,2810,3269.666667,0.9,-1.2,0.8,0.95,16,0.98437,0.5,0.90625,0.9375,480.73,423.25,459.167,608.333,5,756.304,842.768,1,0.910714,0.92,0.92,2503.524,1,0.8,1279.902,0.857142857,0.428571429,2581.7675,9,77.05,37.7,18.03,4.92,73.8,0.657895,28.5,18.75,34875,43077.33333,1,1,2077,2744,0.916667,22.6,0.8,1,15,1,0.125,0.98437,1,447.859,434.071,745,573.438,6,658.518,702.411,1,0.946429,0.96,0.8,1716.556,0.92,0.8,1292.7074,1,0.285714286,2055.425,4,70.31,48.44,20.31,9.38,57.8,0.706422,27.25,19.25,37428.66667,43487,1,2,2511.666667,2714.666667,0.95,-31.05,0.9,1,16,1,0.3125,0.92187,1,432.328,407.273,433.6,519.375,9,589.804,666.982,1,0.857143,0.96,1,2147.858,0.92,0.84,1418.434,0.928571429,0.571428571,1410.57,355.3833333,336.6603774,338.5245902,119,133,129,144.6,138.6,141.9,146.5,151.2,143,30,0,2,1,3,2,0,4,6,87,77,77,90,98,99,81,74,68,,,,,,,,,
