ID,Group,Wave,Yr,Age(Yr),Training (hr),PPPP.points,PPPP.HL,PPPP.G,PPPP.plat,Duck.points,Duck.HL,Duck.G,Duck.plat,TT.points,TT.HL,TT.G,TT.plat,ML.points,ML.HL,ML.G,ML.plat,MT.points,MT.longSeq,MT.avgLeng,GA.points,GA.longSeq,GA.avgLeng,TC.Score,TC.Stars,TC.Avg.Acc,TC.Avg.WPM,TC.Attempts
222,TC,B,5,10.744,10.667,,,,,,,,,,,,,,,,,,,,,,,265577,416,0.99,29,1168
223,TC,B,5,11.333,10.333,,,,,,,,,,,,,,,,,,,,,,,167073,314,0.97,20,1298
224,TC,B,5,10.656,10.667,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,TC,B,5,10.439,10.667,,,,,,,,,,,,,,,,,,,,,,,302641,461,0.99,30,1078
226,TC,B,3,8.733,10.333,,,,,,,,,,,,,,,,,,,,,,,73146,153,0.99,13,582
227,TC,B,5,11.011,10.667,,,,,,,,,,,,,,,,,,,,,,,179225,313,0.97,21,651
228,TC,B,5,10.708,10.667,,,,,,,,,,,,,,,,,,,,,,,321112,479,0.99,31,645
230,TC,B,5,10.744,10.333,,,,,,,,,,,,,,,,,,,,,,,146011,264,0.95,19,617
301,C8,C,3,9.25,10.333,6417,62,60,2,6300,35,35,0,4680,21,20,1,4281,20,19,1,260,8,4.4,491,7,3.91,,,,,
303,C8,C,3,7.947,10.667,1829,35,23,12,3907,28,24,4,689,11,6,5,1921,17,8,11,239,6,2.78,459,6,3.07,,,,,
304,C8,C,3,8.6,9.333,6641,63,63,0,4935,31,29,2,816,12,8,4,1506,12,12,1,435,7,4.75,216,6,3.8,,,,,
305,C8,C,5,10.181,10.667,5259,57,52,4,6388,36,35,1,2260,16,11,5,3399,20,13,7,630,7,3.92,488,7,3.2,,,,,
306,C8,C,5,10.594,10.25,5646,58,58,0,5248,32,31,1,1169,12,10,2,3597,20,15,6,376,7,3.67,495,8,2.5,,,,,
307,C8,C,3,8.278,10,4189,51,46,5,2924,27,19,8,785,11,8,3,2127,18,12,6,316,7,3.27,307,5,3,,,,,
308,C8,C,3,8.147,10.333,5449,57,55,2,4875,32,28,4,4045,20,18,3,565,9,6,3,341,5,2.92,156,5,2.13,,,,,
309,C8,C,3,9.167,10.167,8200,70,70,0,3208,25,24,1,4618,21,20,1,4570,20,21,0,482,7,4,499,6,3,,,,,
310,C8,C,3,9.058,10.5,5645,58,57,1,2927,25,21,4,890,11,9,2,712,10,8,2,608,7,3.47,347,6,3.31,,,,,
311,C8,C,5,10.914,10.083,5840,59,59,0,5196,32,31,1,3933,20,17,3,3600,20,15,5,241,6,3.43,180,5,3,,,,,
312,C8,C,5,10.492,8.083,7078,65,65,0,5950,34,34,0,5240,22,22,0,4570,20,21,0,220,6,4,355,7,3.86,,,,,
